art,klasse,ordnung,familie
1020604,1,102,10213
1070111,1,108,10802
1070119,1,108,10802
1070505,1,108,10812
1070508,1,108,10812
1070810,1,108,10814
1080102,1,109,10901
1080201,1,109,10904
1100120,1,113,11309
1100510,1,113,11314
1100702,1,113,11311
1100707,1,113,11311
1120118,1,115,11509
1120212,1,115,11510
1120303,1,115,11512
1120304,1,115,11512
1120420,1,115,11513
1120603,1,115,11504
1120812,1,115,11507
1120826,1,115,11507
1120905,1,115,11508
1120920,1,115,11508
1150202,1,120,12002
1160411,1,121,12110
1160602,1,121,12105
1160817,1,121,12116
1160820,1,121,12116
1160828,1,121,12115
1160906,1,121,12120
1211520,1,121,12115
2010105,2,201,20101
2050511,2,231,23101
2070404,2,206,20608
2080212,2,234,23408
2090712,2,207,20709
2100408,2,220,22005
2120206,2,219,21904
2120212,2,219,21905
2120305,2,219,21904
2130613,2,244,24408
2130704,2,244,24406
2130709,2,244,24406
2130811,2,244,24407
2140206,2,214,21401
2140213,2,214,21401
2200605,2,240,24003
2210213,2,241,24103
3010301,3,301,30103
3010302,3,301,30103
3010815,3,301,30107
3010819,3,301,30107
3010825,3,301,30107
3010828,3,301,30107
3030102,3,305,30506
3030116,3,305,30506
3030209,3,305,30504
3030422,3,305,30513
3050106,3,306,30602
5010109,6,601,60101
5040202,6,604,60402
5050301,6,605,60503
5050502,6,605,60505
21102570,2,244,24406
21102973,1,121,12101
21103030,3,305,30504
21103170,6,605,60501
21103173,6,607,60702
21103304,3,305,30504
50901010,6,609,60905
50901527,1,120,12001
50904611,6,605,60506
50905784,3,305,30514
50905841,3,301,30105
50905845,3,301,30105
50907156,1,108,10812
55005440,6,612,61204
55005969,6,605,60504
