art,klasse,ordnung,familie
1020604,1,102,10213
1070111,1,108,10802
1070408,1,108,10813
1070421,1,108,10813
1070603,1,108,10815
1070611,1,108,10815
1070706,1,108,10815
1070811,1,108,10814
1071004,1,108,10815
1071108,1,108,10818
1071111,1,108,10818
1071205,1,108,10819
1120102,1,115,11509
1120205,1,115,11510
1120603,1,115,11504
1120818,1,115,11507
1120905,1,115,11508
1120911,1,115,11508
1120912,1,115,11508
1120919,1,115,11508
1120920,1,115,11508
1120921,1,115,11508
1130101,1,115,11515
1150109,1,120,12001
1160201,1,121,12103
1160403,1,121,12110
1160411,1,121,12110
1160708,1,121,12112
1160709,1,121,12112
1160804,1,121,12114
1161011,1,121,12124
1161016,1,121,12124
1161019,1,121,12124
2010105,2,201,20101
2010202,2,204,20401
2050604,2,222,22201
2070404,2,206,20608
2070508,2,206,20607
2070803,2,206,20611
2080106,2,234,23405
2080116,2,234,23405
2080208,2,234,23408
2080412,2,234,23414
2090603,2,207,20710
2090712,2,207,20709
2090731,2,207,20709
2090734,2,207,20709
2130220,2,244,24402
2130338,2,244,24413
2130525,2,244,24417
2130706,2,244,24406
2150225,2,235,23507
3010625,3,301,30105
3030101,3,305,30506
3030104,3,305,30506
3030422,3,305,30513
3040305,3,303,30316
3050206,3,306,30601
5010109,6,601,60101
5020201,6,602,60204
5040112,6,604,60401
5050301,6,605,60503
5050302,6,605,60503
5050303,6,605,60503
5050304,6,605,60503
5050413,6,605,60504
5050430,6,605,60504
5050502,6,605,60505
5060210,6,606,60602
5070301,6,607,60703
5090102,6,609,60901
21102715,1,115,11509
21102857,1,119,11901
21102895,2,206,20612
21103172,6,606,60601
21103173,6,607,60702
21103605,6,604,60401
50901010,6,609,60905
50902219,2,235,23507
50903201,6,605,60505
50903574,6,615,61501
50904611,6,605,60506
55005440,6,612,61204
55005969,6,605,60504
