art,klasse,ordnung,familie
1120113,1,115,11509
1120404,1,115,11514
1160105,1,121,12101
1160411,1,121,12110
1160424,1,121,12110
1161019,1,121,12124
2040105,2,231,23105
2050207,2,229,22901
2070402,2,206,20608
2070404,2,206,20608
2080206,2,234,23412
2090603,2,207,20710
2090731,2,207,20709
2150210,2,235,23507
3010615,3,301,30105
3010625,3,301,30105
5010109,6,601,60101
5040202,6,604,60402
5050502,6,605,60505
5060210,6,606,60602
21103171,1,115,11509
21103173,6,607,60702
50903201,6,605,60505
50903610,6,607,60704
50904186,6,607,60701
50904611,6,605,60506
55008337,6,602,60201
