art,klasse,ordnung,familie
1160411,1,121,12110
2010202,2,204,20401
2090603,2,207,20710
2130511,2,244,24417
2130516,2,244,24417
2130525,2,244,24417
5010109,6,601,60101
5040205,6,604,60402
5050107,6,605,60501
5050301,6,605,60503
5050502,6,605,60505
5050617,6,605,60506
5050630,6,605,60506
5060203,6,606,60602
5080106,6,608,60801
5090101,6,610,61001
5090102,6,609,60901
5090103,6,609,60905
21103173,6,607,60702
21103216,2,244,24419
50902174,6,609,60905
50902487,6,609,60904
50903610,6,607,60704
50904129,6,608,60801
