art,klasse,ordnung,familie
1020601,1,102,10213
1020603,1,102,10212
1070111,1,108,10802
1070402,1,108,10813
1070404,1,108,10813
1070416,1,108,10813
1070506,1,108,10812
1070513,1,108,10812
1070520,1,108,10812
1071103,1,108,10818
1080101,1,109,10901
1080201,1,109,10904
1080304,1,110,11001
1100120,1,113,11309
1100407,1,113,11342
1100505,1,113,11314
1100510,1,113,11314
1100705,1,113,11312
1100707,1,113,11311
1120106,1,115,11509
1120205,1,115,11510
1120303,1,115,11512
1120306,1,115,11511
1120603,1,115,11504
1120703,1,115,11506
1120909,1,115,11508
1120921,1,115,11508
1150204,1,120,12002
1150301,1,120,12003
1160110,1,121,12102
1160302,1,121,12104
1160409,1,121,12110
1160411,1,121,12110
1160431,1,121,12109
1160435,1,121,12110
1160607,1,121,12105
1160817,1,121,12116
1160907,1,121,12120
1161016,1,121,12124
2010101,2,202,20201
2010104,2,201,20101
2010203,2,204,20401
2020105,2,227,22701
2040108,2,231,23105
2050605,2,222,22201
2070101,2,206,20601
2070510,2,206,20606
2070511,2,206,20607
2070520,2,206,20607
2070523,2,206,20607
2070812,2,206,20611
2090102,2,207,20704
2090513,2,207,20707
2090525,2,207,20707
2090527,2,207,20708
2090602,2,207,20710
2090603,2,207,20710
2090609,2,207,20703
2090710,2,207,20709
2090739,2,207,20709
2100406,2,220,22005
2100419,2,220,22005
2120201,2,219,21904
2120212,2,219,21905
2120213,2,219,21905
2120216,2,219,21907
2120321,2,219,21901
2120331,2,219,21901
2130822,2,244,24407
2140212,2,214,21401
2200126,2,239,23903
2221201,2,250,250122
2221216,2,250,250122
2222706,2,250,250151
3010106,3,301,30112
3010604,3,301,30105
3010610,3,301,30105
3010625,3,301,30105
3010813,3,301,30107
3010825,3,301,30107
3010829,3,301,30107
3030119,3,305,30506
3030432,3,305,30514
3040210,3,303,30310
3040514,3,303,30323
3040611,3,303,30338
3060417,4,402,40206
3070103,4,403,40303
3070105,4,403,40304
3070306,4,403,40328
3070806,4,403,40336
3070809,4,403,40336
3070810,4,403,40336
3070901,4,403,40307
5020101,6,602,60202
5020201,6,602,60204
5050301,6,605,60503
5050506,6,605,60505
5050618,6,605,60506
5070212,6,607,60702
21102264,3,303,30320
21102282,4,403,40328
21102322,6,604,60401
21102518,4,403,40380
21102519,4,403,40312
21102799,3,303,30303
21103378,2,250,250122
50901160,5,529,52902
50901567,3,305,30513
50902543,3,303,30320
50902611,1,115,11506
50903201,6,605,60505
50903398,5,527,52717
50903949,6,605,60501
50905211,4,402,40206
50905215,6,603,60303
50905605,5,541,54102
50907039,4,402,40206
50907232,4,402,40204
50907677,5,527,52718
55003218,5,527,52718
55003228,5,528,52830
55003248,5,550,550072
55003292,5,546,54601
55003332,5,526,52601
55003386,5,528,52830
55003413,5,542,54202
55003534,5,527,52717
55003595,5,527,52708
55003609,5,542,54208
55003623,5,527,52718
55003636,5,550,550072
55003637,5,528,52830
55003683,5,527,52718
55003784,5,528,52831
55003785,5,550,550072
55003942,5,528,52831
55006418,5,528,52831
55007922,3,303,30342
55008482,5,550,550063
55008641,5,528,52830
55009999,4,403,40336
55014658,5,542,54209
