art,klasse,ordnung,familie
1070403,1,108,10813
1070404,1,108,10813
1070420,1,108,10813
1070519,1,108,10810
1080101,1,109,10901
1120109,1,115,11509
1120203,1,115,11510
1120427,1,115,11514
1120820,1,115,11507
1120821,1,115,11507
1120911,1,115,11508
1150301,1,120,12003
1160457,1,121,12109
2010102,2,202,20201
2020108,2,227,22701
2050511,2,231,23101
2070401,2,206,20608
2070404,2,206,20608
2080105,2,234,23406
2080501,2,234,23401
2080502,2,234,23401
2090202,2,207,20702
2090221,2,207,20702
2130704,2,244,24406
2130706,2,244,24406
2130710,2,244,24406
2130814,2,244,24407
2130827,2,244,24407
2150108,2,235,23501
2210214,2,241,24103
2210221,2,241,24103
3010302,3,301,30103
3010815,3,301,30107
3030115,3,305,30506
3030116,3,305,30506
3030511,3,305,30528
3040111,3,303,30303
5050301,6,605,60503
21102750,1,121,12102
50904539,1,108,10810
55006840,3,305,30506
55006998,1,115,11509
55009961,1,115,11514
