art,klasse,ordnung,familie
1020604,1,102,10213
1070418,1,108,10813
1120303,1,115,11512
1120304,1,115,11512
1120603,1,115,11504
1120905,1,115,11508
2010102,2,202,20201
2050605,2,222,22201
2070809,2,206,20611
2090603,2,207,20710
2100414,2,220,22005
2130101,2,244,24420
2130704,2,244,24406
2130706,2,244,24406
2150210,2,235,23507
2150225,2,235,23507
3010825,3,301,30107
3030209,3,305,30504
3030214,3,305,30504
3040111,3,303,30303
3050209,3,306,30601
5010109,6,601,60101
5020201,6,602,60204
5050301,6,605,60503
5050430,6,605,60504
5050502,6,605,60505
21103095,6,605,60501
21103173,6,607,60702
21103605,6,604,60401
50903574,6,615,61501
50903581,6,607,60704
