art,klasse,ordnung,familie,behind_scenes
1020604,1,102,10213,0
1020611,1,102,10213,0
1070104,1,108,10802,0
1070111,1,108,10802,0
1070119,1,108,10802,0
1070404,1,108,10813,0
1070406,1,108,10813,0
1070407,1,108,10813,0
1070408,1,108,10813,0
1070409,1,108,10813,0
1070505,1,108,10812,0
1070508,1,108,10812,0
1070512,1,108,10810,0
1070602,1,108,10815,0
1071102,1,108,10818,0
1071204,1,108,10819,0
1071206,1,108,10819,0
1080101,1,109,10901,0
1080201,1,109,10904,0
1080304,1,110,11001,0
1100505,1,113,11314,0
1100510,1,113,11314,0
1100601,1,113,11315,0
1100707,1,113,11311,0
1120118,1,115,11509,0
1120303,1,115,11512,0
1120411,1,115,11514,0
1120502,1,115,11503,0
1120602,1,115,11504,0
1120603,1,115,11504,0
1120820,1,115,11507,0
1120905,1,115,11508,0
1140107,1,119,11901,0
1150102,1,120,12001,0
1150301,1,120,12003,0
1160202,1,121,12103,0
1160301,1,121,12104,0
1160605,1,121,12105,0
1160824,1,121,12114,0
1160826,1,121,12115,0
1161020,1,121,12124,0
2010103,2,201,20101,0
2010105,2,201,20101,0
2010202,2,204,20401,0
2010203,2,204,20401,0
2020105,2,227,22701,0
2040108,2,231,23105,0
2050507,2,231,23101,0
2050604,2,222,22201,0
2070402,2,206,20608,0
2070404,2,206,20608,0
2070803,2,206,20611,0
2070809,2,206,20611,0
2090603,2,207,20710,0
2090609,2,207,20703,0
2090709,2,207,20709,0
2090737,2,207,20709,0
2090739,2,207,20709,0
2100414,2,220,22005,0
2120317,2,219,21905,0
2120328,2,219,21904,0
2130206,2,244,24402,0
2130214,2,244,24402,0
2130215,2,244,24402,0
2130220,2,244,24402,0
2130319,2,244,24413,
2130405,2,244,24415,0
2130508,2,244,24415,0
2130509,2,244,24415,0
2130511,2,244,24417,0
2130613,2,244,24408,0
2130616,2,244,24408,0
2130622,2,244,24408,0
2130701,2,244,24406,0
2130702,2,244,24406,0
2130709,2,244,24406,0
2130710,2,244,24406,
2130715,2,244,24406,
2130716,2,244,24406,0
2130717,2,244,24406,0
2130811,2,244,24407,0
2130814,2,244,24407,0
2130824,2,244,24407,0
2130827,2,244,24407,0
2130828,2,244,24407,0
2130835,2,244,24407,0
2130836,2,244,24407,0
2130862,2,244,24407,0
2130923,2,244,24405,0
2130924,2,244,24405,0
2140217,2,214,21401,0
2140218,2,214,21401,
2200128,2,239,23904,0
3010301,3,301,30103,0
3010302,3,301,30103,0
3010625,3,301,30105,0
3010703,3,301,30106,0
3010708,3,301,30106,0
3010803,3,301,30107,0
3010817,3,301,30107,0
3010825,3,301,30107,0
3030106,3,305,30506,0
3030115,3,305,30506,0
3030117,3,305,30506,0
3030202,3,305,30504,0
3030204,3,305,30504,0
3030205,3,305,30504,0
3030209,3,305,30504,0
3030222,3,305,30504,0
3030527,3,305,30528,0
3030619,3,305,30524,0
3030714,3,305,30527,0
3040111,3,303,30303,0
3040305,3,303,30316,0
3040512,3,303,30321,0
3050106,3,306,30602,0
3070201,4,403,40371,0
3070605,4,403,40323,0
5010102,6,601,60101,0
5030201,6,603,60302,0
5040112,6,604,60401,0
5040202,6,604,60402,0
5050302,6,605,60503,0
5050303,6,605,60503,
5050502,6,605,60505,0
5050504,6,605,60505,
5050611,6,605,60506,0
5050613,6,605,60506,0
5090101,6,610,61001,0
5090102,6,609,60901,0
21102385,2,244,24407,0
21102403,2,244,24420,0
21102462,3,305,30527,0
21102787,3,303,30330,0
21102798,3,305,30527,0
21102895,2,206,20612,0
21103188,3,305,30506,
21103190,3,301,30107,
21103238,3,305,30513,
21103304,3,305,30504,
50901010,6,609,60905,
50901560,3,305,30513,
50902148,1,121,12120,
50902322,3,305,30513,
50902331,3,305,30527,
50906378,1,115,11503,
