art,klasse,ordnung,familie,behind_scenes
1020604,1,102,10213,0
1020611,1,102,10213,0
1040105,1,106,10608,0
1070106,1,108,10802,0
1070111,1,108,10802,0
1070119,1,108,10802,0
1070120,1,108,10802,0
1070406,1,108,10813,0
1070407,1,108,10813,0
1070419,1,108,10813,0
1070505,1,108,10812,0
1070508,1,108,10812,0
1070519,1,108,10810,0
1070521,1,108,10809,0
1070608,1,108,10815,0
1070912,1,108,10816,0
1071111,1,108,10818,0
1080201,1,109,10904,0
1100120,1,113,11309,0
1100706,1,113,11311,0
1120107,1,115,11509,0
1120303,1,115,11512,0
1120304,1,115,11512,0
1120411,1,115,11514,0
1120502,1,115,11503,0
1120603,1,115,11504,0
1120802,1,115,11507,0
1120807,1,115,11507,0
1120812,1,115,11507,0
1120820,1,115,11507,0
1120826,1,115,11507,0
1150103,1,120,12001,0
1150301,1,120,12003,0
1160202,1,121,12103,0
1160403,1,121,12110,0
1160407,1,121,12108,0
1160829,1,121,12114,0
1160906,1,121,12120,0
2010102,2,202,20201,0
2010105,2,201,20101,0
2010202,2,204,20401,0
2010203,2,204,20401,0
2040107,2,231,23105,0
2040108,2,231,23105,0
2040204,2,230,23004,0
2050104,2,231,23102,0
2050108,2,231,23102,0
2050109,2,231,23102,0
2050112,2,231,23102,0
2050201,2,229,22901,0
2050202,2,229,22901,0
2050203,2,229,22901,0
2050207,2,229,22901,0
2050213,2,229,22901,0
2050503,2,231,23101,0
2050507,2,231,23101,0
2050511,2,231,23101,0
2050512,2,231,23101,0
2050516,2,231,23101,0
2050517,2,231,23101,0
2050519,2,231,23101,0
2050604,2,222,22201,0
2050606,2,222,22201,0
2070309,2,206,20603,0
2070621,2,206,20609,0
2070703,2,206,20612,0
2070705,2,206,20612,0
2070734,2,206,20612,0
2070803,2,206,20611,0
2070905,2,206,20613,0
2070909,2,206,20613,0
2080110,2,234,23405,0
2080114,2,234,23404,0
2080116,2,234,23405,0
2080405,2,234,23414,0
2080408,2,234,23414,0
2080505,2,234,23401,0
2080507,2,234,23401,0
2090211,2,207,20702,0
2090214,2,207,20702,0
2100102,2,242,24201,0
2100407,2,220,22005,0
2100413,2,220,22005,0
2100416,2,220,22005,0
2100419,2,220,22005,0
2110501,2,223,22305,0
2110804,2,223,22315,0
2120329,2,219,21901,0
2130101,2,244,24420,0
2130109,2,244,24420,0
2130210,2,244,24402,0
2130302,2,244,24414,0
2130405,2,244,24415,0
2130504,2,244,24415,0
2130509,2,244,24415,0
2130511,2,244,24417,0
2130704,2,244,24406,0
2130706,2,244,24406,0
2130826,2,244,24407,0
2130835,2,244,24407,0
2130903,2,244,24405,0
2130916,2,244,24405,0
2140218,2,214,21401,0
2150210,2,235,23507,0
2150217,2,235,23506,0
2150218,2,235,23507,0
2150225,2,235,23507,0
2150226,2,235,23507,0
2200131,2,239,23904,
2200605,2,240,24003,
3010301,3,301,30103,
3010625,3,301,30105,
3010825,3,301,30107,
3030101,3,305,30506,
3030104,3,305,30506,
3030210,3,305,30504,
3040111,3,303,30303,
3041123,3,303,30344,
3041124,3,303,30344,
3050105,3,306,30602,
5020201,6,602,60204,
5040112,6,604,60401,
5050115,6,605,60501,
5050301,6,605,60503,
5050304,6,605,60503,
5050502,6,605,60505,
5090102,6,609,60901,
21102895,2,206,20612,
21102909,5,526,52601,
21103063,2,235,23506,
50901413,5,532,53201,
50902487,6,609,60904,
50903574,6,615,61501,
50904611,6,605,60506,
50905157,1,115,11504,
