art,klasse,ordnung,familie,behind_scenes
2090603,2,207,20710,0
5010118,6,601,60101,0
5010119,6,601,60101,0
5020201,6,602,60204,0
5040202,6,604,60402,0
5050301,6,605,60503,0
5050502,6,605,60505,0
5050613,6,605,60506,0
5060103,6,606,60601,0
5060203,6,606,60602,0
21102321,6,604,60401,0
21103170,6,605,60501,
21103173,6,607,60702,
21103192,6,604,60401,
21103605,6,604,60401,
50901632,6,604,60401,
50902764,6,607,60702,
50904186,6,607,60701,
50904611,6,605,60506,
50906055,6,603,60301,
50906785,6,604,60401,
