art,klasse,ordnung,familie
1020604,1,102,10213
1070111,1,108,10802
1070114,1,108,10802
1070117,1,108,10802
1070119,1,108,10802
1070120,1,108,10802
1070508,1,108,10812
1070603,1,108,10815
1070810,1,108,10814
1100120,1,113,11309
1100505,1,113,11314
1100510,1,113,11314
1100702,1,113,11311
1120110,1,115,11509
1120111,1,115,11509
1120121,1,115,11509
1120212,1,115,11510
1120303,1,115,11512
1120304,1,115,11512
1120401,1,115,11514
1120411,1,115,11514
1120420,1,115,11513
1120603,1,115,11504
1120810,1,115,11507
1120820,1,115,11507
1120826,1,115,11507
1120901,1,115,11507
1120905,1,115,11508
1120906,1,115,11508
1120920,1,115,11508
1150103,1,120,12001
1150301,1,120,12003
1160411,1,121,12110
1160424,1,121,12110
2010102,2,202,20201
2010105,2,201,20101
2010202,2,204,20401
2050202,2,229,22901
2050605,2,222,22201
2070301,2,206,20603
2090609,2,207,20703
2090709,2,207,20709
2090712,2,207,20709
2090717,2,207,20709
2100408,2,220,22005
2100414,2,220,22005
2120329,2,219,21901
2130110,2,244,24420
2130157,2,244,24420
2130206,2,244,24402
2130220,2,244,24402
2130321,2,244,24413
2130405,2,244,24415
2130419,2,244,24415
2130509,2,244,24415
2130511,2,244,24417
2130516,2,244,24417
2130613,2,244,24408
2130704,2,244,24406
2130709,2,244,24406
2130717,2,244,24406
2130835,2,244,24407
3010202,3,301,30110
3010302,3,301,30103
3010404,3,301,30113
3010625,3,301,30105
3010813,3,301,30107
3010817,3,301,30107
3010819,3,301,30107
3010825,3,301,30107
3010828,3,301,30107
3030101,3,305,30506
3030102,3,305,30506
3030209,3,305,30504
3030404,3,305,30513
3030429,3,305,30513
3030433,3,305,30513
3040111,3,303,30303
3040527,3,303,30320
3040805,3,303,30330
3041115,3,303,30344
3050105,3,306,30602
3060501,4,402,40204
5030102,6,603,60301
5030201,6,603,60302
5050301,6,605,60503
5050302,6,605,60503
5050303,6,605,60503
5050304,6,605,60503
5050413,6,605,60504
5050425,6,605,60504
5050429,6,605,60504
5050502,6,605,60505
5050613,6,605,60506
5050617,6,605,60506
5060102,6,606,60601
5060104,6,606,60601
5060203,6,606,60602
5080107,6,608,60801
5090102,6,609,60901
21102570,2,244,24406
21102787,3,303,30330
21103047,3,305,30513
21103065,3,305,30513
21103078,6,608,60801
21103095,6,605,60501
21103172,6,606,60601
50901010,6,609,60905
50907327,6,605,60505
55005440,6,612,61204
