art,klasse,ordnung,familie
1020201,1,102,10202
1020301,1,102,10210
1020610,1,102,10213
1020611,1,102,10213
1020614,1,102,10213
2010202,2,204,20401
2040102,2,231,23105
2040201,2,230,23004
2050119,2,231,23102
2050503,2,231,23101
2070305,2,206,20603
2070404,2,206,20608
2070604,2,206,20609
2080108,2,234,23405
2080118,2,234,23404
2110401,2,223,22302
2120328,2,219,21904
2130212,2,244,24402
2130215,2,244,24402
2130302,2,244,24414
2130317,2,244,24402
2130328,2,244,24414
2160101,2,211,21101
2200601,2,240,24003
2200605,2,240,24003
2222723,2,250,250151
3010107,3,301,30112
3030201,3,305,30504
3030206,3,305,30504
3030212,3,305,30504
3030213,3,305,30504
3030222,3,305,30504
3041105,3,303,30344
3041113,3,303,30344
5030102,6,603,60301
21102267,3,303,30332
21102820,1,102,10213
21103293,2,206,20609
21103523,3,305,30504
50901010,6,609,60905
50901280,2,250,250051
50901564,1,106,10608
50901915,3,305,30504
50901923,3,303,30332
50901954,3,305,30504
50902130,1,102,10211
50902380,2,234,23412
50902821,2,235,23502
50902826,2,234,23410
50903005,2,204,20401
50903273,3,305,30524
50903709,3,305,30504
50904059,2,243,24303
50904144,2,235,23501
50904773,3,305,30524
50904924,2,235,23501
55010344,2,235,23501
55011587,2,234,23409
