art,klasse,ordnung,familie
1070111,1,108,10802
1070119,1,108,10802
1070404,1,108,10813
1070406,1,108,10813
1070421,1,108,10813
1070521,1,108,10809
1071104,1,108,10818
1071205,1,108,10819
1071206,1,108,10819
1071207,1,108,10819
1100505,1,113,11314
1161009,1,121,12124
1161016,1,121,12124
2090603,2,207,20710
3010710,3,301,30106
3010813,3,301,30107
3010815,3,301,30107
3030117,3,305,30506
3040121,3,303,30303
3040509,3,303,30320
5040112,6,604,60401
5050113,6,605,60501
5050301,6,605,60503
5050304,6,605,60503
5050410,6,605,60504
5050502,6,605,60505
5050512,6,605,60505
21102841,4,403,40382
21103095,6,605,60501
21103172,6,606,60601
21103306,3,305,30504
50901983,6,606,60601
50903581,6,607,60704
50905215,6,603,60303
50906387,6,607,60702
50906388,6,605,60506
55003514,5,550,550072
55003523,5,550,550072
55004862,5,550,550072
