art,klasse,ordnung,familie
1040108,1,106,10608
1070303,1,108,10807
1070403,1,108,10813
1070419,1,108,10813
1070423,1,108,10813
1070521,1,108,10809
1070706,1,108,10815
1100120,1,113,11309
1100407,1,113,11342
1100425,1,113,11342
1100604,1,113,11315
1100705,1,113,11312
1120118,1,115,11509
1120415,1,115,11514
1120610,1,115,11504
1120803,1,115,11507
1120825,1,115,11507
1130101,1,115,11515
1160407,1,121,12108
1160431,1,121,12109
1160465,1,121,12108
2010202,2,204,20401
2050511,2,231,23101
2070404,2,206,20608
2070407,2,206,20608
2070520,2,206,20607
2070606,2,206,20609
2070809,2,206,20611
2070810,2,206,20612
2070906,2,206,20613
2070913,2,206,20613
2071003,2,206,20615
2071104,2,206,20614
2071117,2,206,20614
2090506,2,207,20707
2090529,2,207,20707
2090603,2,207,20710
2090609,2,207,20703
2090714,2,207,20709
2090730,2,207,20709
2090731,2,207,20709
2090734,2,207,20709
2100407,2,220,22005
2100417,2,220,22005
2120118,2,219,21908
2120203,2,219,21905
2120212,2,219,21905
2130302,2,244,24414
2140212,2,214,21401
2150236,2,235,23507
2200102,2,239,23904
2200108,2,239,23904
2200605,2,240,24003
2210103,2,241,24107
2221235,2,250,250122
2222802,2,250,250135
3010104,3,301,30112
3010109,3,301,30112
3010110,3,301,30112
3010205,3,301,30111
3010303,3,301,30104
3010605,3,301,30105
3010607,3,301,30105
3010609,3,301,30105
3010625,3,301,30105
3010724,3,301,30106
3010811,3,301,30107
3010815,3,301,30107
3030102,3,305,30506
3030105,3,305,30506
3030108,3,305,30506
3030115,3,305,30506
3030209,3,305,30504
3040101,3,303,30303
3040111,3,303,30303
3040510,3,303,30320
3040707,3,303,30332
3040720,3,303,30332
3040901,3,303,30340
3060405,4,402,40206
3060412,4,402,40206
3060504,4,402,40204
3070301,4,403,40328
3070511,4,403,40327
3070702,4,403,40360
3070802,4,403,40336
3070805,4,403,40336
3070806,4,403,40336
3070808,4,403,40336
3070810,4,403,40336
4020303,5,514,51405
4060102,5,520,52001
4090201,5,528,52823
4090301,5,528,52825
4090302,5,528,52825
4120502,5,527,52717
5010110,6,601,60101
5020201,6,602,60204
5030102,6,603,60301
5050301,6,605,60503
5050430,6,605,60504
5050502,6,605,60505
5050611,6,605,60506
5070301,6,607,60703
21102280,3,301,30109
21102366,6,607,60702
21102621,6,607,60702
21102719,1,115,11511
21102836,3,301,30107
21102841,4,403,40382
21102895,2,206,20612
21103085,6,606,60601
21103170,6,605,60501
21103201,3,301,30106
21103457,2,235,23505
21103605,6,604,60401
50901556,5,528,52831
50902414,6,605,60506
50902537,5,527,52716
50902659,4,402,40206
50903000,3,301,30105
50903080,5,528,52831
50903292,5,528,52831
50903398,5,527,52717
50904054,5,528,52831
50904854,6,607,60701
50905839,3,301,30105
50905976,6,606,60602
50906666,3,301,30104
50906667,1,115,11507
55003318,5,527,52709
55003319,5,527,52717
55003382,5,550,550072
55003449,5,528,52831
55003595,5,527,52708
55003739,5,550,550072
55004019,5,550,550072
55004120,5,527,52722
55004248,6,602,60210
55004328,5,550,550072
55004762,5,528,52831
55006193,3,301,30105
55006283,3,301,30114
55006288,5,528,52831
55007912,2,241,24103
55007953,5,528,52831
55008147,3,301,30104
55008367,5,528,52831
55010028,1,108,10809
55011166,5,550,550072
55011283,6,605,60505
55013279,6,605,60501
55013526,2,219,21908
