art,klasse,ordnung,familie
1020604,1,102,10213
1160105,1,121,12101
1160409,1,121,12110
1160410,1,121,12110
1160411,1,121,12110
1160421,1,121,12110
1160424,1,121,12110
1160704,1,121,12112
1161004,1,121,12124
1161019,1,121,12124
2010102,2,202,20201
2010105,2,201,20101
2010202,2,204,20401
2090603,2,207,20710
2090717,2,207,20709
5010108,6,601,60101
5040114,6,604,60401
5040202,6,604,60402
5040205,6,604,60402
5050201,6,605,60502
5050303,6,605,60503
5050407,6,605,60504
5050414,6,605,60504
5050425,6,605,60504
5050426,6,605,60504
5050429,6,605,60504
5050430,6,605,60504
5050613,6,605,60506
21102371,6,604,60401
21103170,6,605,60501
50903201,6,605,60505
50906768,6,605,60504
50907049,6,605,60504
55008524,6,605,60506
