art,klasse,ordnung,familie
1070603,1,108,10815
1070830,1,108,10814
1100702,1,113,11311
1120116,1,115,11509
1120118,1,115,11509
1120122,1,115,11509
1120905,1,115,11508
1120920,1,115,11508
1160301,1,121,12104
1160411,1,121,12110
1160430,1,121,12110
1160903,1,121,12120
1161016,1,121,12124
2010105,2,201,20101
2010202,2,204,20401
2050604,2,222,22201
2080409,2,234,23414
2080412,2,234,23414
2090506,2,207,20707
2090603,2,207,20710
2090717,2,207,20709
2090719,2,207,20709
2090731,2,207,20709
2130317,2,244,24402
2130609,2,244,24408
2130704,2,244,24406
2130706,2,244,24406
2130709,2,244,24406
2130907,2,244,24405
3050206,3,306,30601
5040202,6,604,60402
5050502,6,605,60505
5060102,6,606,60601
5060210,6,606,60602
5090102,6,609,60901
21102705,6,610,61002
50902216,2,244,24405
50902495,6,609,60904
50903201,6,605,60505
50903574,6,615,61501
50903581,6,607,60704
50903610,6,607,60704
50903871,6,607,60704
50905976,6,606,60602
50906385,6,604,60401
55003583,6,615,61501
