art,klasse,ordnung,familie
1020604,1,102,10213
1070418,1,108,10813
1100505,1,113,11314
1100702,1,113,11311
1120111,1,115,11509
1120304,1,115,11512
1120420,1,115,11513
1120821,1,115,11507
1120911,1,115,11508
1160301,1,121,12104
1160403,1,121,12110
1160407,1,121,12108
1160410,1,121,12110
1160430,1,121,12110
1160433,1,121,12110
1160804,1,121,12114
1160808,1,121,12117
1160906,1,121,12120
2010102,2,202,20201
2010105,2,201,20101
2010202,2,204,20401
2050202,2,229,22901
2050207,2,229,22901
2050507,2,231,23101
2050604,2,222,22201
2070301,2,206,20603
2070309,2,206,20603
2070402,2,206,20608
2070404,2,206,20608
2070510,2,206,20606
2070511,2,206,20607
2070513,2,206,20607
2070514,2,206,20607
2070520,2,206,20607
2070524,2,206,20607
2070525,2,206,20607
2070606,2,206,20609
2070608,2,206,20609
2070617,2,206,20609
2070621,2,206,20609
2070703,2,206,20612
2070708,2,206,20612
2070720,2,206,20612
2070734,2,206,20612
2070803,2,206,20611
2070808,2,206,20611
2070809,2,206,20611
2070810,2,206,20612
2070812,2,206,20611
2070908,2,206,20613
2070909,2,206,20613
2080207,2,234,23408
2080216,2,234,23408
2080405,2,234,23414
2080412,2,234,23414
2080505,2,234,23401
2080507,2,234,23401
2080601,2,234,23402
2090102,2,207,20704
2090505,2,207,20707
2090603,2,207,20710
2090606,2,207,20703
2090609,2,207,20703
2090702,2,207,20709
2090709,2,207,20709
2090710,2,207,20709
2090711,2,207,20709
2090712,2,207,20709
2090714,2,207,20709
2090717,2,207,20709
2090719,2,207,20709
2090730,2,207,20709
2090731,2,207,20709
2090734,2,207,20709
2090736,2,207,20709
2100403,2,220,22005
2120303,2,219,21904
2120305,2,219,21904
2120308,2,219,21906
2120320,2,219,21901
2130101,2,244,24420
2130302,2,244,24414
2130304,2,244,24413
2130305,2,244,24414
2130310,2,244,24413
2130317,2,244,24402
2130318,2,244,24413
2130319,2,244,24413
2130320,2,244,24414
2130321,2,244,24413
2130328,2,244,24414
2130330,2,244,24413
2130331,2,244,24413
2130511,2,244,24417
2130516,2,244,24417
2130525,2,244,24417
2130608,2,244,24404
2130613,2,244,24408
2130616,2,244,24408
2130622,2,244,24408
2130704,2,244,24406
2130706,2,244,24406
2130709,2,244,24406
2130811,2,244,24407
2130824,2,244,24407
2130826,2,244,24407
2130829,2,244,24407
2130836,2,244,24407
2130903,2,244,24405
2150210,2,235,23507
2150218,2,235,23507
2200605,2,240,24003
2222706,2,250,250151
2222804,2,250,250135
5030201,6,603,60302
5040112,6,604,60401
5050303,6,605,60503
5050426,6,605,60504
5050429,6,605,60504
5050430,6,605,60504
5050502,6,605,60505
5050522,6,605,60505
5050613,6,605,60506
5060104,6,606,60601
5070201,6,607,60702
5070207,6,607,60702
5080105,6,608,60801
5080108,6,608,60801
5080115,6,608,60801
5090103,6,609,60905
21102364,6,607,60702
21102373,6,607,60702
21102540,6,607,60702
21102563,6,607,60702
21102570,2,244,24406
21102705,6,610,61002
21102895,2,206,20612
21102950,6,607,60702
21103078,6,608,60801
21103085,6,606,60601
21103090,6,607,60702
21103171,1,115,11509
21103227,6,607,60705
50901010,6,609,60905
50901393,6,608,60801
50901532,6,608,60801
50902042,6,608,60801
